NO,KODE BARANG,REG,NAMA BARANG / JENIS BARANG,UKURAN CC,SATUAN,TAHUN PEMBELIAN,BAHAN,MERK, TYPE,Tanggal & No BAST,, HARGA (Rp.) ,SUMBER DANA,Kondisi Barang,,,Masuk Dalam KIB,,PENGEMBANG,KEBERADAAN BARANG,
,,,,,,,,,,,,,,,,,,,,,
1,132100102001,001011 001012,Komputer All-in,2,Unit,2018,C,DELL Inspiron 3064,Inspiro 3064,,,"20,460,000 ",BOS TW 2,Baik,-,-,Ya,,,LAB Komputer,
2,132100203003,000546,Printer ,1,Unit,2018,C,EPSON L405,L405,,,"6,545,000 ",BOS TW 2,Baik,-,-,Ya,,,Ruang Wakil,
3,132100102002,003144,Laptop,1,Unit,2018,C,Acer,Aspire E 14,,,"8,497,500 ",BOS TW 2,Baik,-,-,Ya,,,Anwar,
4,132100102001,001013 001014 001015,Komputer All-in,3,Unit,2018,C,DELL, Inspiron 3064,,,"30,690,000 ",BOS TW 3,Baik,-,-,Ya,,,LAB Komputer,
5,132050105043,000775 000776 000777 000778,LCD Proyektor,4,Unit,2018,C,ViewSonic ,PA502X,,,"26,400,000 ",BOS TW 4,Baik,-,-,Ya,,,"X MIPA 1, X MMIPA 4, XI NIPA 2 dan di R. Kepsek",
6,132100202009,000077 000078,Barcode Scaner,2,Unit,2018,C,Symcode,,,,"3,740,000 ",BOS TW 4,Baik,-,-,Ya,,,Di TU Lemari Wastono,
7,132080117022,000547,Mesin Scaner ,1,Unit,2018,C,Plustek SmartOffice ,PS283,,,"14,700,000 ",BOS TW 4,Baik,-,-,Ya,,,LAB Komputer,
1,132100102001,001775 001776 001777,Komputer  PC All In One,3,Unit,2019,C,Dell,3277AIO,10-04-2019,031," 42,038,700 ",BOS TW 2,Baik,-,-,Ya,,CV DUNIA REKAN ABADI,LAB Bahasa 1 dan lab komputer 2,
2,132100102002,002920,Lap Top ,1,Unit,2019,C,Lenovo,Ideapad 330,17-05-2019,036," 11,550,000 ",BOS TW 2,Baik,-,-,Ya,,CV DUNIA REKAN ABADI,Di Ibu Ari Handayani,
3,132050105043,004823 004824 004825,LCD,3,Unit,2019,C,Infocus,IN222,20-05-2019,037," 26,400,000 ",BOS TW 2,Baik,-,-,Ya,,CV DUNIA REKAN ABADI,"X IPS 1, X IPS 2 dan XII MIPA 2",
4,132100102001,001778,Komputer All-in,1,Unit,2019,C,DELL Inspiron, 3280 AIO,11-09-2019,021," 13,970,000 ",BOS TW 3,Baik,-,-,Ya,,CV DUNIA REKAN ABADI,LAB Komputer,
5,132060101036,000101-000105,Mic Wirelees,5,Unit,2019,C,Auderpro,Auderpro,31-01-2019,003/F/LDU-SMAN28/I/2019," 27,500,000 ",BOP TW 1,Baik,-,-,Ya,,"LADJU DINAMIKA UNGGUL,PT","Avis 3, Di gudng 1, di musik 1",
6,132080110006,00001,Mikrooskop Binokuler,1,Unit,2019,C,Mikroskop Digital,ME-2500,28-11-2019,19/561128," 22,220,000 ",BOP TW 4,Baik,-,-,Ya,,KATALIS DATESA PRIMA PT,LAB BIOLOGI,
7,132060206002,000140,Portabel Sound System Wirless,1,Unit,2019,C,Auderpro,Auderpro,08-03-2019,007/F/LDU-SMAN28/III/2019," 16,500,000 ",BOP TW 1,Baik,-,-,Ya,,"LADJU DINAMIKA UNGGUL,PT",TU,
1,132010101001,015721 015722,Hidroppnik,2,Unit,2020,P,-,-,28/01/2020,20-KW/SMAN.28-SPK/I/2020," 15,125,000 ",BOP TW 1,Baik,-,-,Ya,,PT. SINERGI PANCAKINARYA,Di Samping TU,
